,IRR,sigma,Shape_Ratio
Portfolio,0.01964355126232935,0.2269065335316112,-0.1316196563020155
TWII,0.005381304965551645,0.1344671646998878,-0.33081802914185104
0050,0.005791325221933826,0.13053891015053062,-0.3375536964166903
