,IRR,sigma,Shape_Ratio
Portfolio,0.01083727501956041,0.2207217592842297,-0.17620280497523813
TWII,0.009753429340689892,0.1419079229154269,-0.28189218828629714
0050,0.00894339526427397,0.13476548801183025,-0.30299315096558477
