,IRR,sigma,Shape_Ratio
Portfolio,0.17596998864223531,0.24728772128301077,0.5687065804673396
TWII,0.05651566538518094,0.14431701513368084,0.07778226397546649
0050,0.08540423357716903,0.14808198330698702,0.2871467013902888
